iter	RMSE
0	1716826.421
1	1716537.582
2	1716057.404
3	1715491.945
4	1715420.09
5	1715083.564
6	1714912.915
7	1714663.331
8	1714373.218
9	1714013.611
10	1713689.466
11	1712986.946
12	1712568.133
13	1712173.06
14	1711515.092
15	1711087.873
16	1710827.454
17	1710708.24
18	1710298.396
19	1709829.16
20	1709358.768
21	1709105.12
22	1708920.892
23	1708483.271
24	1708258.796
25	1708130.321
26	1707680.049
27	1707461.496
28	1707114.953
29	1707070.188
30	1706875.518
31	1706610.108
32	1706341.947
33	1706206.551
34	1706093.778
35	1705839.626
36	1705563.5
37	1705213.299
38	1704851.608
39	1704725.406
40	1704570.582
41	1704331.536
42	1703996.075
43	1703759.486
44	1703624.065
45	1703271.782
46	1703049.094
47	1702641.111
48	1702221.842
49	1701915.973
50	1701468.125
51	1701242.005
52	1701065.174
53	1700861.978
54	1700775.951
55	1700070.702
56	1699602.344
57	1699595.728
58	1699162.732
59	1699056.128
60	1699019.943
61	1698963.023
62	1698495.581
63	1698338.081
64	1697682.413
65	1697220.789
66	1697002.865
67	1696842.358
68	1696601.532
69	1696281.354
70	1695723.668
71	1695458.733
72	1695047.674
73	1694579.961
74	1694387.81
75	1693839.751
76	1693320.254
77	1693061.677
78	1692930.194
79	1692676.496
80	1692414.428
81	1692012.606
82	1691695.009
83	1691691.394
84	1691345.842
85	1691018.061
86	1690820.871
87	1690381.832
88	1689569.17
89	1689152.943
90	1688999.756
91	1688974.281
92	1688666.356
93	1688099.979
94	1687534.752
95	1687172.618
96	1687158.403
97	1686942.953
98	1686807.108
99	1686617.311
100	1686517.352
101	1686291.076
102	1686065.89
103	1685887.46
104	1685876.974
105	1685851.504
106	1685640.786
107	1685417.157
108	1684910.194
109	1684592.254
110	1684207.484
111	1684201.354
112	1683851.275
113	1683493.311
114	1683396.835
115	1683263.043
116	1682998.55
117	1682840.727
118	1682193.671
119	1681919.46
120	1681605.723
121	1681434.463
122	1680976.757
123	1680726.548
124	1680335.797
125	1679925.545
126	1679683.963
127	1679301.924
128	1678886.191
129	1678586.966
130	1678378.871
131	1678334.001
132	1678034.838
133	1677933.814
134	1677668.786
135	1677542.74
136	1677288.488
137	1677251.826
138	1676797.729
139	1676501.457
140	1676452.502
141	1676314.543
142	1675908.518
143	1675606.388
144	1675568.867
145	1675201.503
146	1675200.296
147	1674892.22
148	1674731.064
149	1674474.173
150	1674085.987
151	1673705.835
152	1673120.922
153	1673106.26
154	1672684.586
155	1672614.183
156	1672468.385
157	1672338.816
158	1672189.013
159	1671900.784
160	1671643.721
161	1670985.169
162	1670862.647
163	1670615.903
164	1670481.431
165	1670286.815
166	1670138.423
167	1670063.261
168	1669726.192
169	1669390.838
170	1668977.694
171	1668730.145
172	1668703.029
173	1668074.321
174	1668073.848
175	1668061.019
176	1667904.105
177	1667627.914
178	1667553
179	1667311.982
180	1667074.185
181	1667074.183
182	1666924.188
183	1666892.915
184	1666637.814
185	1666508.373
186	1666236.648
187	1665781.884
188	1665434.561
189	1665154.541
190	1664808.294
191	1664487.455
192	1664406.003
193	1664160.6
194	1663857.844
195	1663698.023
196	1663492.539
197	1662971.341
198	1662415.923
199	1662313.55
200	1662167.406
201	1661717.715
202	1661280.125
203	1661244.633
204	1660862.222
205	1660536.656
206	1660221.865
207	1660180.296
208	1659822.547
209	1659610.747
210	1659476.35
211	1659474.518
212	1659471.815
213	1659459.004
214	1659423.637
215	1659164.144
216	1658673.563
217	1658350.941
218	1658025.936
219	1657675.114
220	1657251.628
221	1656984.086
222	1656754.392
223	1656211.774
224	1656044.495
225	1655869.485
226	1655498.884
227	1655363.997
228	1655361.768
229	1654991.507
230	1654516.82
231	1654354.938
232	1653831.451
233	1653415.151
234	1652946.963
235	1652691.035
236	1652622.959
237	1652217.503
238	1652156.189
239	1652104.58
240	1651812.506
241	1651575.351
242	1651383.306
243	1651025.203
244	1650652.488
245	1650476.056
246	1650102.801
247	1649963.255
248	1649749.04
249	1649736.284
250	1649587.408
251	1649423.187
252	1649322.09
253	1648979.71
254	1648741.08
255	1648498.8
256	1648358.195
257	1648251.592
258	1648087.655
259	1647683.532
260	1647515.984
261	1647424.738
262	1646933.803
263	1646333.102
264	1646099.19
265	1645945.432
266	1645861.384
267	1645554.511
268	1645182.331
269	1645148.332
270	1644671.834
271	1644454.279
272	1644129.628
273	1643949.208
274	1643770.239
275	1643495.624
276	1643019.84
277	1642707.302
278	1642696.558
279	1642641.451
280	1642466.093
281	1642463.722
282	1642063.297
283	1641904.411
284	1641750.361
285	1641410.285
286	1641271.781
287	1640611.288
288	1640160.696
289	1640038.346
290	1639945.492
291	1639466.126
292	1639223.997
293	1639146.969
294	1638987.974
295	1638915.671
296	1638849.328
297	1638819.298
298	1638457.279
299	1638121.32
