iter	Passed	Remaining
0	31	9407
1	67	10056
2	106	10497
3	141	10435
4	163	9655
5	196	9630
6	230	9668
7	266	9725
8	300	9730
9	335	9720
10	373	9814
11	406	9753
12	442	9768
13	475	9721
14	511	9717
15	546	9699
16	581	9687
17	614	9634
18	648	9584
19	684	9577
20	719	9558
21	753	9524
22	787	9490
23	824	9476
24	857	9436
25	891	9397
26	924	9348
27	958	9311
28	990	9257
29	1007	9066
30	1040	9026
31	1072	8983
32	1107	8957
33	1137	8899
34	1170	8865
35	1203	8826
36	1236	8789
37	1269	8750
38	1320	8837
39	1352	8791
40	1385	8753
41	1418	8714
42	1451	8675
43	1484	8636
44	1513	8577
45	1546	8538
46	1577	8491
47	1608	8446
48	1640	8402
49	1673	8367
50	1704	8323
51	1747	8335
52	1790	8345
53	1824	8311
54	1858	8279
55	1892	8246
56	1926	8213
57	1941	8102
58	1976	8074
59	2010	8042
60	2044	8009
61	2078	7977
62	2111	7942
63	2145	7911
64	2180	7882
65	2212	7845
66	2248	7817
67	2281	7783
68	2315	7751
69	2348	7717
70	2382	7685
71	2416	7651
72	2452	7625
73	2488	7598
74	2524	7574
75	2558	7540
76	2593	7509
77	2630	7487
78	2664	7453
79	2702	7431
80	2737	7401
81	2772	7370
82	2805	7335
83	2817	7244
84	2851	7212
85	2886	7182
86	2922	7155
87	2957	7124
88	2991	7092
89	3029	7068
90	3062	7034
91	3074	6952
92	3110	6922
93	3145	6893
94	3178	6859
95	3212	6827
96	3228	6756
97	3263	6725
98	3295	6691
99	3328	6656
100	3361	6623
101	3393	6587
102	3427	6556
103	3460	6521
104	3477	6457
105	3511	6425
106	3542	6390
107	3575	6356
108	3612	6330
109	3644	6295
110	3679	6264
111	3694	6201
112	3728	6170
113	3762	6139
114	3795	6105
115	3828	6073
116	3860	6037
117	3892	6004
118	3924	5969
119	3957	5936
120	3989	5902
121	4022	5868
122	4056	5837
123	4095	5812
124	4126	5776
125	4159	5743
126	4190	5708
127	4223	5675
128	4256	5642
129	4289	5609
130	4321	5574
131	4353	5540
132	4384	5505
133	4417	5472
134	4449	5438
135	4482	5405
136	4518	5376
137	4529	5317
138	4579	5304
139	4611	5270
140	4644	5236
141	4675	5202
142	4707	5168
143	4742	5137
144	4773	5102
145	4806	5069
146	4816	5013
147	4849	4980
148	4883	4948
149	4917	4917
150	4950	4884
151	4983	4852
152	5018	4821
153	5049	4787
154	5081	4754
155	5114	4721
156	5148	4689
157	5180	4656
158	5213	4622
159	5247	4591
160	5279	4557
161	5314	4526
162	5347	4494
163	5379	4460
164	5413	4429
165	5446	4396
166	5479	4363
167	5513	4332
168	5546	4299
169	5578	4265
170	5613	4234
171	5645	4201
172	5666	4159
173	5697	4125
174	5710	4078
175	5721	4030
176	5752	3997
177	5785	3965
178	5817	3932
179	5850	3900
180	5882	3867
181	5892	3820
182	5925	3788
183	5951	3751
184	5983	3719
185	6020	3689
186	6052	3657
187	6084	3624
188	6116	3592
189	6150	3560
190	6189	3532
191	6225	3501
192	6259	3470
193	6293	3438
194	6327	3407
195	6361	3375
196	6398	3345
197	6433	3314
198	6469	3283
199	6503	3251
200	6538	3220
201	6575	3190
202	6610	3158
203	6644	3126
204	6678	3095
205	6713	3063
206	6747	3031
207	6785	3001
208	6821	2970
209	6856	2938
210	6890	2906
211	6908	2867
212	6919	2826
213	6929	2784
214	6946	2746
215	6981	2715
216	7015	2683
217	7052	2652
218	7085	2620
219	7126	2591
220	7160	2559
221	7195	2528
222	7228	2496
223	7262	2464
224	7296	2432
225	7335	2401
226	7369	2370
227	7404	2338
228	7416	2299
229	7449	2267
230	7485	2236
231	7519	2204
232	7555	2172
233	7589	2140
234	7620	2107
235	7653	2075
236	7669	2038
237	7702	2006
238	7735	1974
239	7746	1936
240	7778	1904
241	7810	1871
242	7842	1839
243	7874	1807
244	7906	1775
245	7940	1743
246	7973	1710
247	8010	1679
248	8042	1647
249	8068	1613
250	8100	1581
251	8133	1549
252	8164	1516
253	8197	1484
254	8228	1452
255	8260	1419
256	8292	1387
257	8324	1355
258	8358	1323
259	8392	1291
260	8426	1259
261	8463	1227
262	8497	1195
263	8529	1163
264	8559	1130
265	8592	1098
266	8608	1063
267	8640	1031
268	8672	999
269	8706	967
270	8739	935
271	8774	903
272	8806	871
273	8839	838
274	8872	806
275	8908	774
276	8940	742
277	8972	710
278	8988	676
279	9019	644
280	9051	612
281	9062	578
282	9093	546
283	9124	514
284	9156	481
285	9187	449
286	9221	417
287	9253	385
288	9286	353
289	9318	321
290	9349	289
291	9384	257
292	9417	224
293	9448	192
294	9481	160
295	9513	128
296	9545	96
297	9561	64
298	9592	32
299	9623	0
